"date","sales","dcoilwtico"
"2013-01-02",4.96092417944,93.14
"2013-01-03",3.61461231124,92.97
"2013-01-04",3.544596770927,93.12
"2013-01-07",3.36122801066,93.2
"2013-01-08",3.18347777981,93.21
"2013-01-09",3.02530809018,93.08
"2013-01-10",2.58982003049,93.81
"2013-01-11",2.897376850845,93.6
"2013-01-14",2.93348362078,94.27
"2013-01-15",2.99129549954,93.26
"2013-01-16",3.18347913946,94.28
"2013-01-17",2.674985159755,95.49
"2013-01-18",2.96130850028,95.61
"2013-01-22",2.96214728983,96.09
"2013-01-23",2.832584530325,95.06
"2013-01-24",2.47245690995,95.35
"2013-01-25",2.9002277193,95.15
"2013-01-28",2.85460169953,95.95
"2013-01-29",2.644888180765,97.62
"2013-01-30",2.81061127052,97.98
"2013-01-31",2.71254217996,97.65
"2013-02-01",3.69402055266,97.46
"2013-02-04",3.44308715017,96.21
"2013-02-05",3.2124583913,96.68
"2013-02-06",3.21538177149,96.44
"2013-02-07",2.90807530973,95.84
"2013-02-08",3.47441789912,95.71
"2013-02-11",2.78627588926,97.01
"2013-02-12",3.088007909121,97.48
"2013-02-13",3.19597929962,97.03
"2013-02-14",3.08164016957,97.3
"2013-02-15",3.20168883912,95.95
"2013-02-19",2.93637801951,96.69
"2013-02-20",3.13803162034,94.92
"2013-02-21",2.677111090155,92.79
"2013-02-22",2.85679869131,93.12
"2013-02-25",3.07110875933,92.74
"2013-02-26",2.704250070675,92.63
"2013-02-27",2.88401998919,92.84
"2013-02-28",2.78116291888,92.03
"2013-03-01",3.78898165064,90.71
"2013-03-04",3.83647679097,90.13
"2013-03-05",3.32189993189,90.88
"2013-03-06",3.35726580968,90.47
"2013-03-07",2.9309952701,91.53
"2013-03-08",3.16600679967,92.01
"2013-03-11",3.18379133021,92.07
"2013-03-12",2.7182337801,92.44
"2013-03-13",2.87869663972,92.47
"2013-03-14",2.47541420096,93.03
"2013-03-15",3.15878090213,93.49
"2013-03-18",3.3028380303,93.71
"2013-03-19",2.94020245897,92.44
"2013-03-20",3.21207006946,93.21
"2013-03-21",2.69130127953,92.46
"2013-03-22",3.04100453969,93.41
"2013-03-25",3.175596099585,94.55
"2013-03-26",2.758182359,95.99
"2013-03-27",3.13691148998,96.53
"2013-03-28",3.39293269022,97.24
"2013-04-01",4.28816447912,97.1
"2013-04-02",3.77732827961,97.23
"2013-04-03",3.737310758793,95.02
"2013-04-04",3.08738385963,93.26
"2013-04-05",3.36394782031,92.76
"2013-04-08",3.46649815943,93.36
"2013-04-09",3.063358019617,94.18
"2013-04-10",3.12846374941,94.59
"2013-04-11",3.0322341301,93.44
"2013-04-12",3.14394967035,91.23
"2013-04-15",3.38712458055,88.75
"2013-04-16",3.33431880049,88.73
"2013-04-17",3.34990518942,86.65
"2013-04-18",2.81924509951,87.83
"2013-04-19",3.1158870494,88.04
"2013-04-22",3.28886320986,88.81
"2013-04-23",3.020978329435,89.21
"2013-04-24",3.10555184925,91.07
"2013-04-25",2.68790618996,93.27
"2013-04-26",3.04413556952,92.63
"2013-04-29",3.28795874018,94.09
"2013-04-30",3.10186466894,93.22
"2013-05-01",5.07974636889,90.74
"2013-05-02",3.48709460063,93.7
"2013-05-03",3.742912510323,95.25
"2013-05-06",3.69869383046,95.8
"2013-05-07",3.17292964148,95.28
"2013-05-08",3.32477410968,96.24
"2013-05-09",3.058680570225,96.09
"2013-05-10",3.35937441949,95.81
"2013-05-13",3.5059806187,94.76
"2013-05-14",3.08469313119,93.96
"2013-05-15",3.29113560081,93.95
"2013-05-16",3.07556946937,94.85
"2013-05-17",3.30004241998,95.72
"2013-05-20",3.41787214991,96.29
"2013-05-21",3.07178399952,95.55
"2013-05-22",3.017854831075,93.98
"2013-05-23",2.89261058026,94.12
"2013-05-24",3.98389241982,93.84
"2013-05-28",3.073291680565,94.65
"2013-05-29",3.09333380899,93.13
"2013-05-30",3.04344849939,93.57
"2013-05-31",3.30257841975,91.93
"2013-06-03",4.26332097995,93.41
"2013-06-04",3.69705160085,93.36
"2013-06-05",3.61791080915,93.66
"2013-06-06",3.17496765891,94.71
"2013-06-07",3.57673087977,96.11
"2013-06-10",3.49754291978,95.82
"2013-06-11",2.838582159925,95.5
"2013-06-12",3.201735779987,95.98
"2013-06-13",2.828869200452,96.66
"2013-06-14",3.269567421072,97.83
"2013-06-17",3.70944271024,97.86
"2013-06-18",3.208853399215,98.46
"2013-06-19",3.19235257977,98.24
"2013-06-20",2.93877944015,94.89
"2013-06-21",3.197226870265,93.81
"2013-06-24",3.366319640383,95.07
"2013-06-25",3.05119530064,95.25
"2013-06-26",3.018472489636,95.47
"2013-06-27",2.66525458966,97
"2013-06-28",3.24210971803,96.36
"2013-07-01",4.417583880965,97.94
"2013-07-02",3.9095838408,99.65
"2013-07-03",3.74551917949,101.92
"2013-07-05",3.51401500074,103.09
"2013-07-08",3.65452995017,103.03
"2013-07-09",3.172791449993,103.46
"2013-07-10",3.14134886071,106.41
"2013-07-11",2.81750931023,104.77
"2013-07-12",3.08786438133,105.85
"2013-07-15",3.488030469486,106.2
"2013-07-16",3.35516229006,105.88
"2013-07-17",3.243138180255,106.39
"2013-07-18",2.870748739522,107.94
"2013-07-19",3.13332555049,108
"2013-07-22",3.4280229905,106.61
"2013-07-23",3.16257463107,107.13
"2013-07-24",3.092437899995,105.41
"2013-07-25",2.980742249247,105.47
"2013-07-26",3.18745692921,104.76
"2013-07-29",3.314932850525,104.61
"2013-07-30",3.18553989932,103.14
